run,rank,id,bucket,tokenizer_loss,byte_kv_loss,loss_delta,byte_count,qwen_input_tokens,tinyllama_input_tokens,input_text,target_text
qwen05_kv_p32_all,1,test_multilingual_ar_000068,multilingual_ar,0.30883917212486267,11.974557876586914,11.665718704462051,83,23,43,النصوص متعددة اللغات تكشف تحيزات التقسيم. [8853],النصوص متعددة اللغات تكشف تحيزات التقسيم. [8853]
qwen05_kv_p32_all,2,test_multilingual_ar_000074,multilingual_ar,0.3037453591823578,11.93535041809082,11.631605058908463,83,23,43,النصوص متعددة اللغات تكشف تحيزات التقسيم. [8930],النصوص متعددة اللغات تكشف تحيزات التقسيم. [8930]
qwen05_kv_p32_all,1,test_multilingual_ja_000069,multilingual_ja,0.46971964836120605,11.35859203338623,10.888872385025024,76,23,41,この評価ではノイズに対する頑健性を測定します。 [9979],この評価ではノイズに対する頑健性を測定します。 [9979]
qwen05_kv_p32_all,2,test_multilingual_ja_000071,multilingual_ja,0.6170443296432495,11.47937297821045,10.8623286485672,64,20,33,小さな実験でも失敗条件を明確にします。 [8979],小さな実験でも失敗条件を明確にします。 [8979]
qwen05_kv_p32_all,1,test_multilingual_ko_000079,multilingual_ko,0.29314911365509033,11.05334758758545,10.760198473930359,53,19,34,바이트 입력 어댑터만 학습합니다. [1490],바이트 입력 어댑터만 학습합니다. [1490]
qwen05_kv_p32_all,2,test_multilingual_ko_000001,multilingual_ko,0.31182757019996643,10.996145248413086,10.68431767821312,53,19,34,바이트 입력 어댑터만 학습합니다. [1397],바이트 입력 어댑터만 학습합니다. [1397]
qwen05_kv_p32_all,1,test_multilingual_zh_000075,multilingual_zh,0.6008114814758301,12.396890640258789,11.796079158782959,64,19,31,这个实验需要清晰的基线和可复现的结果。 [1699],这个实验需要清晰的基线和可复现的结果。 [1699]
qwen05_kv_p32_all,2,test_multilingual_zh_000000,multilingual_zh,0.6343183517456055,12.412853240966797,11.778534889221191,64,19,31,这个实验需要清晰的基线和可复现的结果。 [6920],这个实验需要清晰的基线和可复现的结果。 [6920]
tinyllama_kv_p32_all,1,test_multilingual_ar_000029,multilingual_ar,0.4343893826007843,11.0018892288208,10.567499846220016,83,23,43,النصوص متعددة اللغات تكشف تحيزات التقسيم. [5011],النصوص متعددة اللغات تكشف تحيزات التقسيم. [5011]
tinyllama_kv_p32_all,2,test_multilingual_ar_000026,multilingual_ar,0.40465137362480164,10.964263916015625,10.559612542390823,83,23,43,النصوص متعددة اللغات تكشف تحيزات التقسيم. [8090],النصوص متعددة اللغات تكشف تحيزات التقسيم. [8090]
tinyllama_kv_p32_all,1,test_multilingual_ja_000002,multilingual_ja,0.42093318700790405,10.962614059448242,10.541680872440338,64,20,33,小さな実験でも失敗条件を明確にします。 [2107],小さな実験でも失敗条件を明確にします。 [2107]
tinyllama_kv_p32_all,2,test_multilingual_ja_000071,multilingual_ja,0.4098246991634369,10.945186614990234,10.535361915826797,64,20,33,小さな実験でも失敗条件を明確にします。 [8979],小さな実験でも失敗条件を明確にします。 [8979]
tinyllama_kv_p32_all,1,test_multilingual_ko_000008,multilingual_ko,0.46201103925704956,11.208951950073242,10.746940910816193,56,19,39,평가는 버킷별로 나누어 기록합니다. [2723],평가는 버킷별로 나누어 기록합니다. [2723]
tinyllama_kv_p32_all,2,test_multilingual_ko_000026,multilingual_ko,0.4542185068130493,11.185821533203125,10.731603026390076,56,19,39,평가는 버킷별로 나누어 기록합니다. [9923],평가는 버킷별로 나누어 기록합니다. [9923]
tinyllama_kv_p32_all,1,test_multilingual_zh_000029,multilingual_zh,0.4588624835014343,11.580225944519043,11.121363461017609,58,18,33,模型主体被冻结，只训练输入适配器。 [8592],模型主体被冻结，只训练输入适配器。 [8592]
tinyllama_kv_p32_all,2,test_multilingual_zh_000017,multilingual_zh,0.518739640712738,11.532623291015625,11.013883650302887,58,18,33,模型主体被冻结，只训练输入适配器。 [3598],模型主体被冻结，只训练输入适配器。 [3598]
